dataset,seed,shot,category,method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
mpdd,0,1,bracket_black,B,0.9399051322548364,0.020698284627020575,0.43417553191489366,0.5875729912503661,0.7580645161290321
mpdd,0,1,bracket_black,S,0.9324283251396606,0.024394537788906445,0.4428191489361702,0.5996639671076649,0.7519999999999999
mpdd,0,1,bracket_black,C,0.9054983948441077,0.004553237092124371,0.375,0.531704472562165,0.7580645161290321
mpdd,0,1,bracket_black,A1_J,0.9419427536838594,0.010484232161356622,0.4275265957446808,0.5621490941122234,0.7768595041322314
mpdd,0,1,bracket_black,TRI_J,0.93857918188487,0.01111307971557714,0.41555851063829785,0.555887188775731,0.7704918032786886
mpdd,0,1,bracket_black,BAL_J,0.9378795298876381,0.009446305967508218,0.4109042553191489,0.5566918430913823,0.7768595041322314
mpdd,0,1,bracket_black,DUP_J,0.9424884326715584,0.012929526448518589,0.43683510638297873,0.5640699187407189,0.7603305785123967
mpdd,0,1,bracket_black,DUP_BAL_J,0.9419427536838594,0.010484232161356622,0.4275265957446808,0.5621490941122234,0.7768595041322314
mpdd,0,1,bracket_black,DUP_EXPECTED_J,0.9424884326715584,0.012929526448518589,0.43683510638297873,0.5640699187407189,0.7603305785123967
mpdd,0,1,bracket_black,A1_L,0.9370410730048,0.009556228519546179,0.410904255319149,0.5511596943080194,0.7768595041322314
mpdd,0,1,bracket_black,DUP_L,0.9389131776925941,0.012060385245083821,0.42486702127659576,0.558234221305072,0.7642276422764228
mpdd,0,1,bracket_black,TRI_L,0.9361269707272014,0.010705183461540573,0.418218085106383,0.5558635434946949,0.7704918032786886
mpdd,0,1,bracket_black,BAL_L,0.9343037826024692,0.008781615030853998,0.4075797872340426,0.5558924118360455,0.7768595041322314
mpdd,0,1,bracket_brown,B,0.8964985508359131,0.03713649612439021,0.4856711915535445,0.6761955522801084,0.796875
mpdd,0,1,bracket_brown,S,0.9308237056196966,0.04568812717841718,0.43137254901960786,0.6488569966932699,0.796875
mpdd,0,1,bracket_brown,C,0.9264269999332064,0.030702615235043237,0.5671191553544496,0.7163959286518556,0.8031496062992126
mpdd,0,1,bracket_brown,A1_J,0.9098312920752817,0.03444572142559052,0.5603318250377074,0.7399949469760592,0.796875
mpdd,0,1,bracket_brown,TRI_J,0.9224451718338629,0.04012115611967321,0.502262443438914,0.7021940789305717,0.796875
mpdd,0,1,bracket_brown,BAL_J,0.9237342573995282,0.0378676629536082,0.5354449472096531,0.7315514228853147,0.796875
mpdd,0,1,bracket_brown,DUP_J,0.9046030047525645,0.03562750078804686,0.528657616892911,0.7087128841756154,0.796875
mpdd,0,1,bracket_brown,DUP_BAL_J,0.9098312920752817,0.03444572142559052,0.5603318250377074,0.7399949469760592,0.796875
mpdd,0,1,bracket_brown,DUP_EXPECTED_J,0.9046030047525645,0.03562750078804686,0.528657616892911,0.7087128841756154,0.796875
mpdd,0,1,bracket_brown,A1_L,0.9196448015036441,0.03867845829055906,0.576923076923077,0.7336251950484683,0.796875
mpdd,0,1,bracket_brown,DUP_L,0.9112560944392314,0.038517114805567604,0.5384615384615384,0.6987479488159031,0.796875
mpdd,0,1,bracket_brown,TRI_L,0.9290572652669158,0.04342881568946949,0.5158371040723981,0.6865408692801347,0.796875
mpdd,0,1,bracket_brown,BAL_L,0.9322567003708377,0.042362050778070474,0.5452488687782805,0.7105906183014447,0.796875
mpdd,0,1,bracket_white,B,0.9916050513343316,0.07165047828223282,0.7044444444444444,0.6461388369463097,0.7692307692307693
mpdd,0,1,bracket_white,S,0.9912126681180973,0.09433514780956423,0.6633333333333333,0.6783522798343196,0.7532467532467533
mpdd,0,1,bracket_white,C,0.9837390906277896,0.03802541076010374,0.7355555555555556,0.7240147423149413,0.7466666666666667
mpdd,0,1,bracket_white,A1_J,0.9942810208045934,0.08474999424338445,0.7855555555555556,0.7564372591813036,0.8059701492537312
mpdd,0,1,bracket_white,TRI_J,0.993440994353959,0.10184357352473074,0.7377777777777778,0.7446100036173315,0.767123287671233
mpdd,0,1,bracket_white,BAL_J,0.9945217171253269,0.09708575137891731,0.7755555555555556,0.7772410835634779,0.7887323943661972
mpdd,0,1,bracket_white,DUP_J,0.9932579069112233,0.08387013885406,0.7466666666666667,0.7045143887104062,0.7647058823529413
mpdd,0,1,bracket_white,DUP_BAL_J,0.9942810208045934,0.08474999424338445,0.7855555555555556,0.7564372591813036,0.8059701492537312
mpdd,0,1,bracket_white,DUP_EXPECTED_J,0.9932579069112233,0.08387013885406,0.7466666666666667,0.7045143887104062,0.7647058823529413
mpdd,0,1,bracket_white,A1_L,0.9938922226902085,0.09410628236856854,0.79,0.7684812761368793,0.8055555555555556
mpdd,0,1,bracket_white,DUP_L,0.993053185233188,0.08814860824877828,0.7622222222222222,0.7263949041469987,0.78125
mpdd,0,1,bracket_white,TRI_L,0.9937215594797448,0.10373704377565389,0.7444444444444445,0.7411254911499098,0.7733333333333334
mpdd,0,1,bracket_white,BAL_L,0.9944595341518656,0.09988428122219697,0.7855555555555556,0.782288069288856,0.7945205479452055
mpdd,0,1,connector,B,0.9425367392599951,0.08788632581251997,0.519047619047619,0.32758276612205484,0.5531914893617021
mpdd,0,1,connector,S,0.946782305290316,0.09832363923692693,0.5166666666666666,0.3385844384959077,0.5090909090909091
mpdd,0,1,connector,C,0.9606526541244197,0.09826062704684245,0.8261904761904763,0.7284271647720593,0.7407407407407408
mpdd,0,1,connector,A1_J,0.948803307983282,0.12611134305680063,0.5714285714285714,0.4311063420475626,0.5185185185185185
mpdd,0,1,connector,TRI_J,0.9456431459474639,0.11641767581280614,0.5357142857142857,0.3410824735094713,0.52
mpdd,0,1,connector,BAL_J,0.9492997067421827,0.13403115201924226,0.5595238095238095,0.42595265919301817,0.5217391304347825
mpdd,0,1,connector,DUP_J,0.945640341569429,0.103972250275994,0.5404761904761906,0.3547908486705055,0.5283018867924528
mpdd,0,1,connector,DUP_BAL_J,0.948803307983282,0.12611134305680063,0.5714285714285714,0.4311063420475626,0.5185185185185185
mpdd,0,1,connector,DUP_EXPECTED_J,0.945640341569429,0.103972250275994,0.5404761904761906,0.3547908486705055,0.5283018867924528
mpdd,0,1,connector,A1_L,0.957206478914511,0.13137851586372906,0.5976190476190476,0.4785322544109091,0.55
mpdd,0,1,connector,DUP_L,0.9521554077565664,0.10843835350781947,0.5571428571428572,0.3559305928409107,0.5333333333333333
mpdd,0,1,connector,TRI_L,0.9560980437269306,0.12692808230682498,0.5761904761904761,0.3908475852668976,0.55
mpdd,0,1,connector,BAL_L,0.960090819878042,0.14841369678644256,0.6214285714285714,0.5050262455947658,0.5416666666666667
mpdd,0,1,metal_plate,B,0.9546154335506615,0.7632616764164711,0.9745395449620802,0.9912933697120341,0.9436619718309859
mpdd,0,1,metal_plate,S,0.9703775963179291,0.8471733571363781,0.9929577464788732,0.9974692899917978,0.9726027397260273
mpdd,0,1,metal_plate,C,0.9876175010553632,0.9256255712707924,0.9978331527627303,0.9992228867880035,0.9861111111111112
mpdd,0,1,metal_plate,A1_J,0.9769343334479985,0.8713213541856446,1.0,1.0,1.0
mpdd,0,1,metal_plate,TRI_J,0.9749350497797771,0.8639407469100534,1.0,1.0,1.0
mpdd,0,1,metal_plate,BAL_J,0.9808534834103517,0.892623861358778,1.0,1.0,1.0
mpdd,0,1,metal_plate,DUP_J,0.9695161039518396,0.8340747800954418,1.0,1.0,1.0
mpdd,0,1,metal_plate,DUP_BAL_J,0.9769343334479985,0.8713213541856446,1.0,1.0,1.0
mpdd,0,1,metal_plate,DUP_EXPECTED_J,0.9695161039518396,0.8340747800954418,1.0,1.0,1.0
mpdd,0,1,metal_plate,A1_L,0.9782306900165716,0.8692493436997928,1.0,1.0,1.0
mpdd,0,1,metal_plate,DUP_L,0.9702760362767446,0.8305623274057209,1.0,1.0,1.0
mpdd,0,1,metal_plate,TRI_L,0.9776577147878368,0.8704466394554007,1.0,1.0,1.0
mpdd,0,1,metal_plate,BAL_L,0.9834366875435442,0.8981212761892328,1.0,1.0,1.0
mpdd,0,1,tubes,B,0.9826653695536169,0.6959782435017179,0.9325181159420289,0.9747606302963413,0.9302325581395349
mpdd,0,1,tubes,S,0.9750214102894144,0.5715179080284134,0.9388586956521738,0.9735273442443512,0.9064748201438848
mpdd,0,1,tubes,C,0.971491393151393,0.4735522169644566,0.8858695652173914,0.9469651664340161,0.8840579710144928
mpdd,0,1,tubes,A1_J,0.9862483457378635,0.7281610472693901,0.9406702898550725,0.9773282124774338,0.9312977099236642
mpdd,0,1,tubes,TRI_J,0.9835000560628032,0.6880817707217759,0.9433876811594204,0.9776525767930572,0.9264705882352942
mpdd,0,1,tubes,BAL_J,0.9843047018248509,0.6987113039948201,0.9538043478260869,0.9811857113837922,0.9242424242424243
mpdd,0,1,tubes,DUP_J,0.9852870048872691,0.7166370318178196,0.9334239130434783,0.9744726662297845,0.921875
mpdd,0,1,tubes,DUP_BAL_J,0.9862483457378635,0.7281610472693901,0.9406702898550725,0.9773282124774338,0.9312977099236642
mpdd,0,1,tubes,DUP_EXPECTED_J,0.9852870048872691,0.7166370318178196,0.9334239130434783,0.9744726662297845,0.921875
mpdd,0,1,tubes,A1_L,0.9883807252887117,0.736058155872321,0.9375,0.9771631558003023,0.9384615384615386
mpdd,0,1,tubes,DUP_L,0.9865460219523725,0.7195809150474917,0.9325181159420289,0.9751915824224369,0.9302325581395349
mpdd,0,1,tubes,TRI_L,0.9867114809521893,0.7005061308450251,0.9492753623188406,0.9800588208734974,0.9323308270676692
mpdd,0,1,tubes,BAL_L,0.9882990837353548,0.7167155032899677,0.9556159420289856,0.9827894579152617,0.9402985074626865
mpdd,0,2,bracket_black,B,0.9481783125603881,0.04184882277916868,0.46276595744680854,0.6130649371564897,0.7460317460317459
mpdd,0,2,bracket_black,S,0.9367137912351433,0.047821291241002456,0.48204787234042556,0.6241102071768769,0.7460317460317459
mpdd,0,2,bracket_black,C,0.9191619461292069,0.005424674815386872,0.3876329787234043,0.5412927554094715,0.7603305785123967
mpdd,0,2,bracket_black,A1_J,0.9498238120973826,0.014647863408783119,0.4607712765957447,0.561718394831281,0.7519999999999999
mpdd,0,2,bracket_black,TRI_J,0.9458112703761294,0.018055578185973007,0.47938829787234044,0.5764820482888724,0.7460317460317459
mpdd,0,2,bracket_black,BAL_J,0.9457638986359859,0.013042686377683695,0.47207446808510634,0.561077603905514,0.7519999999999999
mpdd,0,2,bracket_black,DUP_J,0.9502956112022274,0.020066580275830033,0.4753989361702127,0.5824820692923546,0.7460317460317459
mpdd,0,2,bracket_black,DUP_BAL_J,0.9498238120973826,0.014647863408783119,0.4607712765957447,0.561718394831281,0.7519999999999999
mpdd,0,2,bracket_black,DUP_EXPECTED_J,0.9502956112022274,0.020066580275830033,0.4753989361702127,0.5824820692923546,0.7460317460317459
mpdd,0,2,bracket_black,A1_L,0.9487041295391396,0.014433728233691491,0.45279255319148937,0.5603113531911076,0.7460317460317459
mpdd,0,2,bracket_black,DUP_L,0.9493912107520761,0.02002968650924617,0.4621010638297873,0.5785204463679563,0.7460317460317459
mpdd,0,2,bracket_black,TRI_L,0.9466914968940232,0.018444164487841246,0.4753989361702127,0.5793580740287998,0.7460317460317459
mpdd,0,2,bracket_black,BAL_L,0.9458136215626587,0.012632746575607878,0.4541223404255319,0.5580177388137727,0.7460317460317459
mpdd,0,2,bracket_brown,B,0.8817220715124212,0.037683947000412124,0.45248868778280543,0.6526055952335706,0.8095238095238095
mpdd,0,2,bracket_brown,S,0.9268723573188242,0.04330864981732668,0.4660633484162896,0.6793357099056567,0.8095238095238095
mpdd,0,2,bracket_brown,C,0.9249674471291033,0.02872429392249899,0.6176470588235294,0.7313922613207775,0.8095238095238095
mpdd,0,2,bracket_brown,A1_J,0.9039260470367483,0.03336958319325254,0.5708898944193062,0.7598400574200707,0.8160000000000001
mpdd,0,2,bracket_brown,TRI_J,0.9152140793935396,0.03730236593058412,0.5407239819004525,0.7379669213664904,0.8160000000000001
mpdd,0,2,bracket_brown,BAL_J,0.9188949912164149,0.03529768097625927,0.5761689291101055,0.7542956958361293,0.8160000000000001
mpdd,0,2,bracket_brown,DUP_J,0.8951119726215568,0.03532162403908852,0.5150829562594268,0.7149788611545356,0.8160000000000001
mpdd,0,2,bracket_brown,DUP_BAL_J,0.9039260470367483,0.03336958319325254,0.5708898944193062,0.7598400574200707,0.8160000000000001
mpdd,0,2,bracket_brown,DUP_EXPECTED_J,0.8951119726215568,0.03532162403908852,0.5150829562594268,0.7149788611545356,0.8160000000000001
mpdd,0,2,bracket_brown,A1_L,0.9123518896184327,0.0390990868766131,0.552790346907994,0.7371496498349854,0.8095238095238095
mpdd,0,2,bracket_brown,DUP_L,0.9011379357360016,0.038977918629171326,0.5113122171945701,0.7016401944694092,0.8095238095238095
mpdd,0,2,bracket_brown,TRI_L,0.9233213473580139,0.04145489763783313,0.5444947209653092,0.747203874411268,0.8095238095238095
mpdd,0,2,bracket_brown,BAL_L,0.9279971070673245,0.04017309650456525,0.5716440422322775,0.7586885658644605,0.8160000000000001
mpdd,0,2,bracket_white,B,0.9941295811574958,0.08935313647194147,0.77,0.7121305306218283,0.7941176470588235
mpdd,0,2,bracket_white,S,0.9948623018010438,0.1457706569786197,0.7822222222222223,0.8034774456550309,0.767123287671233
mpdd,0,2,bracket_white,C,0.9912460466525596,0.050945242888093475,0.7388888888888889,0.70612586116721,0.7792207792207793
mpdd,0,2,bracket_white,A1_J,0.9959438899418237,0.10598851655794718,0.8266666666666667,0.8071000882339985,0.8307692307692307
mpdd,0,2,bracket_white,TRI_J,0.9956606668957011,0.14437489795354133,0.8277777777777777,0.8201869191143311,0.8
mpdd,0,2,bracket_white,BAL_J,0.996338003896882,0.12774249417456804,0.8577777777777778,0.8599429025339121,0.819672131147541
mpdd,0,2,bracket_white,DUP_J,0.9952586409917332,0.10061822938074788,0.7966666666666666,0.7518960630688917,0.8
mpdd,0,2,bracket_white,DUP_BAL_J,0.9959438899418237,0.10598851655794718,0.8266666666666667,0.8071000882339985,0.8307692307692307
mpdd,0,2,bracket_white,DUP_EXPECTED_J,0.9952586409917332,0.10061822938074788,0.7966666666666666,0.7518960630688917,0.8
mpdd,0,2,bracket_white,A1_L,0.9956621503861216,0.10841576102443233,0.8077777777777778,0.7861102519232801,0.7941176470588235
